sector,symbol_a,security_a,symbol_b,security_b,n_days,pearson_r,p_value,mean_log_rel_pe,ci99_low,ci99_high,exp_mean_log_rel_pe
Health Care,LH,Labcorp,PODD,Insulet Corporation,1255,-0.7130530859739106,1.8600225029227987e-195,-2.0416437012205284,-2.1635715564437024,-1.9197158459973542,0.12981515808422614
Health Care,BDX,Becton Dickinson,MDT,Medtronic,1255,0.7122346849209542,8.220672507752714e-195,0.12404458015786478,0.10310335023397213,0.14498581008175743,1.1320663375703053
Health Care,ABBV,AbbVie,SYK,Stryker Corporation,1255,0.7116699379856029,2.2853120275461227e-194,-0.2048087542441304,-0.26641806072081153,-0.14319944776744925,0.8148031291519966
Health Care,AMGN,Amgen,BDX,Becton Dickinson,1255,0.7114704842584666,3.277263975539393e-194,-0.15378266826203255,-0.17302030861622913,-0.13454502790783596,0.8574583536769623
Health Care,BMY,Bristol Myers Squibb,ZTS,Zoetis,1005,-0.7645573403579837,1.6058738116508657e-193,-1.0593625287040938,-1.11059790753604,-1.0081271498721476,0.34667673637396706
Health Care,REGN,Regeneron Pharmaceuticals,STE,Steris,1255,0.7082526855588613,1.0545009102282383e-191,-0.6990326262009581,-0.7199519949253493,-0.6781132574765668,0.49706591983348936
Health Care,ISRG,Intuitive Surgical,STE,Steris,1255,0.7075110503903639,3.945714676300047e-191,0.677369221636836,0.6630613630526716,0.6916770802210004,1.9686917220137279
Health Care,DGX,Quest Diagnostics,LH,Labcorp,1255,0.7070781123428181,8.508132222691078e-191,-0.15659477820369097,-0.1870683856414691,-0.12612117076591284,0.8550504737144049
Health Care,BDX,Becton Dickinson,PFE,Pfizer,1129,0.7317199789343362,7.996395508689878e-190,0.5905960128498249,0.560281999798794,0.6209100259008558,1.8050639361546268
Health Care,BSX,Boston Scientific,HSIC,Henry Schein,1255,0.705603373428777,1.1534066061672737e-189,0.6809801448197907,0.6549926604117982,0.7069676292277833,1.975813366710687
Health Care,COO,Cooper Companies (The),MCK,McKesson Corporation,1255,0.7053102767022946,1.93264250641741e-189,0.048381932645255046,-0.0025321795256781562,0.09929604481618826,1.0495714443805226
Health Care,CNC,Centene Corporation,ELV,Elevance Health,1050,0.7483557844602386,4.651671886785766e-189,-0.24441771327027959,-0.2578896803820641,-0.23094574615849509,0.7831604294245902
Health Care,DHR,Danaher Corporation,PODD,Insulet Corporation,1255,-0.7028635998323965,1.4017853035254282e-187,-1.4785961936959156,-1.5748378592894758,-1.3823545281023553,0.22795747201043293
Health Care,BDX,Becton Dickinson,MCK,McKesson Corporation,1255,0.7011167377260507,2.9067272150022653e-186,0.2100470428672297,0.19191524545512076,0.22817884027933863,1.2337360970750275
Health Care,AMGN,Amgen,REGN,Regeneron Pharmaceuticals,1255,0.700969772955144,3.747509803816975e-186,0.17835313770247002,0.15306695977982834,0.2036393156251117,1.19524733361345
Health Care,HSIC,Henry Schein,PODD,Insulet Corporation,1255,-0.7006827514668462,6.152308182851461e-186,-1.9031050816910142,-1.9919905433899774,-1.814219619992051,0.14910491673116158
Health Care,GEHC,GE HealthCare,LH,Labcorp,705,0.8365792410478861,6.7986928836526785e-186,-0.47933914877281125,-0.49263097317410887,-0.46604732437151364,0.6191924507186349
Health Care,CI,Cigna,MCK,McKesson Corporation,1255,0.7004786409534125,8.74953158709382e-186,-0.22874695506617548,-0.24701699619155076,-0.2104769139408002,0.7955298128265058
Health Care,CI,Cigna,GILD,Gilead Sciences,1255,0.699480630708186,4.874776214598925e-185,-0.4210743483328109,-0.4954502800617041,-0.34669841660391765,0.6563413017135683
Health Care,AMGN,Amgen,TMO,Thermo Fisher Scientific,1255,0.6991827397976008,8.128584837372716e-185,-0.3286709395164614,-0.3553192865014651,-0.30202259253145775,0.7198798617921768
Health Care,AMGN,Amgen,VRTX,Vertex Pharmaceuticals,1006,0.7523642599518744,3.295624631725174e-184,-0.34846349660332393,-0.3676408362562826,-0.3292861569503653,0.705771677617225
